,economically_inactive_student_including_full_time_students,objectid,all_categories_economic_activity,economically_active_employee_part_time,economically_active_employee_full_time,economically_active_self_employed,economically_active_unemployed,economically_active_full_time_student,economically_inactive_retired,cartodb_id,economically_inactive_looking_after_home_or_family,economically_inactive_long_term_sick_or_disabled,economically_inactive_other,unemployed_age_16_to_24,unemployed_age_50_to_74,unemployed_never_worked,long_term_unemployed,full_time_,part_time_,unemployed,retired_pc,lng,lat,the_geom,Local Authority Code,Local Authority Name,Region/Country Code,Region/Country Name,Supergroup Code,Supergroup Name,Group Code,Group Name,Subgroup Code,Subgroup Name
E00084959,15,179094,278,31,135,27,10,12,11,179094,21,8,8,1,3,1,3,48.56115107913671,11.1510791366906,3.5971223021582697,3.9568345323741,-0.81339427,52.06048721,0106000020E610000001000000010300000001000000070000000AF9EF6A2D00EABF2C392136DA074A40D14B1737F603EABF2E907E19C3074A404EEB95645202EABFA35E00918B074A407790AFA7E50AEABFA8A2405889074A4096F123E2470EEABF0CC7378EE2074A408C9E821F9705EABFCFC68EE2ED074A400AF9EF6A2D00EABF2C392136DA074A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Social Renting New Arrivals
E00084913,11,173784,253,38,119,11,16,6,26,173784,15,9,2,3,5,1,7,47.035573122529605,15.019762845849801,6.32411067193676,10.276679841897199,-0.7690670820000001,51.99541522,0106000020E6100000010000000103000000010000000600000036083C2EE489E8BF42FB4C156DFF4940660A2C9BB298E8BF2EA4991540FF4940EB247393D2ACE8BF11E104686EFF4940DE907E273CA7E8BF4160048980FF49404573E099E09EE8BF210C723E98FF494036083C2EE489E8BF42FB4C156DFF4940,E06000042,Milton Keynes,E12000008,South East,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00084326,5,168646,249,18,112,16,42,6,6,168646,10,26,8,10,5,1,22,44.97991967871489,7.228915662650599,16.867469879518097,2.40963855421687,-0.741484316,52.00993977,0106000020E610000001000000010300000001000000100000000EBE87C0C2B4E7BFB42D9B14C3004A40BA04952F2CBDE7BFC6EFDEC4F0004A4099E2D75C28C5E7BFF35E4A9418014A406EEF4C7A0ACBE7BFCA98C5E333014A40923DA05071D9E7BF168FD59270014A4040C9A648D6E2E7BF087C2CB493014A40B4CBC8DC59AFE7BFE6D7A97F82014A40A30037280BABE7BFDE6F4A9469014A402D5391C535A3E7BF90A749A96C014A40BA50AA952FA7E7BF02E5A97056014A40E12278755FA2E7BF7B0E3CF339014A40983864F2C887E7BF7A49A919F2004A40916108F9C698E7BF6919EBE1C1004A409E9A0ECBC4ABE7BFEF1AFFBF8B004A40B14427A59CADE7BFA91200DE97004A400EBE87C0C2B4E7BFB42D9B14C3004A40,E06000042,Milton Keynes,E12000008,South East,3,Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods
E00084325,4,168649,221,25,95,15,5,3,60,168649,7,3,4,5,0,1,0,42.986425339366505,11.3122171945701,2.2624434389140298,27.149321266968304,-0.718627809,52.00147583,0106000020E6100000010000000103000000010000000C000000B205C7A644FDE6BF2A1B782ABB004A409057221EA9EEE6BFAB4B9C13D0004A40A0A9254C81F0E6BFF1FD196996004A409325D9A087E6E6BF9C526B070A004A40A2F47FF28209E7BFEBE4AF5101004A40C135BC11521EE7BF78C7D7D822004A409F6A19448319E7BFF4B9CE7038004A40D372ABF8A608E7BF9692666B4D004A4079C5781CF308E7BF4BF13B1865004A408C17E63D51FBE6BF2324D30D6F004A401BBC7A38F909E7BF08A8AF26B1004A40B205C7A644FDE6BF2A1B782ABB004A40,E06000042,Milton Keynes,E12000008,South East,6,Suburbanites,6b,Semi-Detached Suburbia,6b3,Semi-Detached Ageing
E00084328,9,168650,158,15,47,21,11,2,28,168650,4,10,11,3,4,0,7,29.746835443038,9.49367088607595,6.9620253164557,17.7215189873418,-0.7297480279999999,51.99887881,0106000020E6100000010000000103000000010000002C000000916108F9C698E7BF6919EBE1C1004A40983864F2C887E7BF7A49A919F2004A40E12278755FA2E7BF7B0E3CF339014A40BA50AA952FA7E7BF02E5A97056014A402D5391C535A3E7BF90A749A96C014A40A30037280BABE7BFDE6F4A9469014A40B4CBC8DC59AFE7BFE6D7A97F82014A4042C214DB40ACE7BFA1B3BA2F82014A404C86C53B8DA7E7BF3370707181014A40480E9281CAA1E7BF6D1931A382014A4082C35378E799E7BF9D74AF4C82014A40BB8D45A7B58BE7BF49A144B385014A4094F20ECE2E69E7BFFA361B5298014A4073E206556A59E7BF712EFEB5FA004A4046FD087A973FE7BFBBD4CFE79B004A40F510635EFC30E7BF0B3B098D91004A401BBC7A38F909E7BF08A8AF26B1004A408C17E63D51FBE6BF2324D30D6F004A4079C5781CF308E7BF4BF13B1865004A40D372ABF8A608E7BF9692666B4D004A409F6A19448319E7BFF4B9CE7038004A40C135BC11521EE7BF78C7D7D822004A40ABAE548B5B3DE7BF9431A8EB53004A408344F7CAD94AE7BF46E7F8440D004A40ACF3CDA0CB46E7BF4321037B0C004A40D02231ECFD47E7BFEC53913BEFFF4940A2751FBE3E42E7BFEDF17ED3EDFF494089A09991FC54E7BF30314698B5FF4940A9E932350B5DE7BF5F5456BABCFF4940C25C2A63125DE7BFC459B9A0A6FF494098AC61617C68E7BF0863036BA4FF49401C0074E9596EE7BF9B6E2D9BC3FF4940DEF66EF7427CE7BF1A1E87C2B8FF4940261EBC430F7DE7BF1E5D33599DFF4940491346721382E7BFA6C61DAE9CFF4940F8C6A7D4F880E7BF4C46D9395DFF4940AF15EEEDCC87E7BF3A6FB69939FF4940905F6903F18BE7BF63A97B1D36FF4940694EBCF48094E7BF83D1B7D9A2FF49409D2BC4A3FD9AE7BFF2628C14F2FF49408F80A6B8E1A3E7BF97D46E404D004A407C6E7B4AC0A8E7BFCD32606D72004A409E9A0ECBC4ABE7BFEF1AFFBF8B004A40916108F9C698E7BF6919EBE1C1004A40,E06000042,Milton Keynes,E12000008,South East,8,Hard-Pressed Living,8d,Migration and Churn,8d2,Hard-Pressed Ethnic Mix
E00084329,6,168651,243,46,95,19,11,3,34,168651,10,10,9,3,1,1,4,39.0946502057613,18.9300411522634,4.5267489711934195,13.991769547325099,-0.72180831,51.99909824,0106000020E6100000010000000103000000010000000E000000C135BC11521EE7BF78C7D7D822004A40A2F47FF28209E7BFEBE4AF5101004A40D665F5034804E7BF38BF9B0CF4FF4940D8876AD93C07E7BF1FB0124EE2FF494041C2A0504E07E7BFBA9BDB38D0FF4940E1C22C0A740BE7BFB5DC1DF1CFFF4940C3B4EFD0A035E7BF4ADDFF41C9FF49409FFD4AE15037E7BFC605B53BEDFF4940A2751FBE3E42E7BFEDF17ED3EDFF4940D02231ECFD47E7BFEC53913BEFFF4940ACF3CDA0CB46E7BF4321037B0C004A408344F7CAD94AE7BF46E7F8440D004A40ABAE548B5B3DE7BF9431A8EB53004A40C135BC11521EE7BF78C7D7D822004A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Social Renting New Arrivals
E00175499,9,168674,196,23,106,24,5,4,4,168674,16,4,1,0,1,0,3,54.0816326530612,11.734693877551,2.55102040816327,2.04081632653061,-0.8020419520000001,52.02039109,0106000020E6100000010000000103000000010000000D00000003141F1E9494E9BFD6B7FEE7A2024A400F47DD41CF6BE9BF37FF74C86E024A4072F144EC0783E9BF3CC688563F024A40FD4A37B1C3A4E9BF7658BF288C024A4027AB10E613ADE9BFD3426BA14F024A40A864264737B2E9BF6FC7DF8259024A40B1B2139D61ACE9BFCF0A251885024A4031546D0BA8B2E9BF7FDFCD4A9B024A4068A2796866C0E9BFC2C6D9799D024A40E57945ED99C4E9BFB8473E33AB024A403262998EBDB1E9BFE0242FDFD3024A402FE210FBF0AAE9BF099CDBD5BB024A4003141F1E9494E9BFD6B7FEE7A2024A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families
E00175493,11,168658,189,26,114,16,6,1,2,168658,11,0,2,3,2,1,0,60.317460317460295,13.7566137566138,3.17460317460317,1.05820105820106,-0.8068331679999999,52.00010647,0106000020E61000000100000001030000000100000009000000AE1CCF19DDC8E9BF3D5FF4980C004A404489262D08C8E9BF7707FE1FF7FF49405D918307C0D2E9BF9014E7A6FBFF4940906C6A5094CAE9BF1348B085D0FF494041F0CC0D4BD3E9BFD8638961B8FF494095E6EC3123DFE9BFC210530E23004A408FDAEB8CDAD7E9BF1AFFF77733004A402C9E0E68AACCE9BF0017A5C428004A40AE1CCF19DDC8E9BF3D5FF4980C004A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00175412,4,168659,168,17,89,11,4,2,24,168659,7,10,0,0,0,0,2,52.9761904761905,10.1190476190476,2.38095238095238,14.285714285714299,-0.709886042,52.08382319,0106000020E6100000010000000103000000010000001D000000ED036FAA7542E6BF79D792B0F60A4A40EE2D56245D4DE6BFE016E00B7F0A4A408F29B5C45A73E6BF7B4B576A770A4A401D33D3967FB0E6BFE67442E9520A4A409D18291C14B6E6BF1C9648614E0A4A40F2E31A65D1B9E6BF3554031D620A4A407971D3FAE5BFE6BFC7877AE4590A4A403AD26FCCE4BFE6BFDFAD6A1C7D0A4A400A38BD561BB3E6BFA9C123B7980A4A401490A5C6D1B4E6BFE1AC197CB40A4A401A79C3D832C1E6BFF0055D81AE0A4A40BFE236ABDFBEE6BFF0B98468BF0A4A409E95CD4911B2E6BFE88A6995C60A4A4004D6A87EC399E6BFEA9FD621020B4A400A02FA1E77C4E6BFF1C21092FE0A4A40BD1D334FA3C9E6BFBAF4AAA52A0B4A40C3B4F59327CDE6BF3F8807311A0B4A4078867AC0EBD5E6BF84CC4D711A0B4A4034B292D240DEE6BFCDD9F4C73E0B4A40EE32AC0907B4E6BFA98F9BF16C0B4A4037EC6B675BA7E6BF62B8F7BDB20B4A40F15B72EC8CAEE6BFE49F874E6C0B4A407B2139E6B4A2E6BF79F03C83770B4A40747A2101679AE6BF28F26BEE6E0B4A40F7A47C900193E6BF81BB1BCB440B4A40922644D80771E6BF4014BDD2130B4A40C76BF014766DE6BF7B4CC177F00A4A40372D06C35E50E6BF3E9958C8E60A4A40ED036FAA7542E6BF79D792B0F60A4A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00175492,6,168660,141,5,98,10,3,5,8,168660,5,1,0,0,1,1,2,69.5035460992908,3.5460992907801403,2.1276595744680904,5.673758865248231,-0.801907933,52.00316986,0106000020E61000000100000001030000000100000006000000F22A70979C93E9BF1D6BA42574004A40CC3E9BCA4DA9E9BFBBB10A7A2B004A408F502BC688AEE9BF249668ED44004A4098112AADA7BBE9BF42865E4F76004A403EAF46CE60A8E9BFF2DD8E3489004A40F22A70979C93E9BF1D6BA42574004A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families
E00175413,17,168661,265,29,154,26,9,9,9,168661,9,2,1,0,1,0,2,58.1132075471698,10.9433962264151,3.3962264150943398,3.3962264150943398,-0.7093566240000001,52.04590351,0106000020E6100000010000000103000000010000000D00000042A1EB3F24B3E6BF719F62CC80054A4056998ED45FC4E6BF4671C1AE92054A40FC76C86E2EC1E6BF6B115ECBBF054A4026E59A0AC1C6E6BFF97D3233D5054A4040AECC973EC0E6BFA98CD5C8DF054A40BAD977DEE1C0E6BF8FA4D6B3F1054A401B6CBB18BABAE6BFD297FC6004064A40ACBF4FECAAACE6BFA01599A6FD054A408798234234A7E6BFC1CDED550C064A40A6A3EE783BA1E6BFCE54020AF1054A402BA2EC6255ABE6BF3C7680FAE0054A4003EE56F27FA1E6BF9DACBBFFB5054A4042A1EB3F24B3E6BF719F62CC80054A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00175410,4,168662,179,25,95,10,7,5,14,168662,10,8,1,2,1,0,4,53.072625698324,13.966480446927399,3.9106145251396605,7.82122905027933,-0.70880294,52.07959633,0106000020E6100000010000000103000000010000000E0000001D33D3967FB0E6BFE67442E9520A4A4080BAAC8D79ADE6BFD46BA0962D0A4A407A9E233970A5E6BF4BC0B796330A4A408E94318121A1E6BF08F32EBA160A4A4060A2B96C6BA7E6BFD000666C080A4A404C58F5585784E6BFDBCEC75AF3094A40597858FF41E5E6BF78133EC3B1094A40F2CB12ABE6CAE6BF9C6DDD670E0A4A4037B6421EA5C6E6BF5F8224AA3D0A4A40A7FA3C8D79BFE6BF848E00383E0A4A407971D3FAE5BFE6BFC7877AE4590A4A40F2E31A65D1B9E6BF3554031D620A4A409D18291C14B6E6BF1C9648614E0A4A401D33D3967FB0E6BFE67442E9520A4A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00175491,10,168663,233,33,118,33,7,9,5,168663,11,2,5,2,2,1,2,50.6437768240343,14.1630901287554,3.00429184549356,2.14592274678112,-0.805641312,52.00165472,0106000020E6100000010000000103000000010000000D0000000642E437E7BEE9BF3CFA6E104E004A407E0607E371BFE9BFD03AFBA432004A401AF682B3B2B9E9BF818C198427004A40CAD0D3D7E1C3E9BFCC8F88A509004A40AE1CCF19DDC8E9BF3D5FF4980C004A402C9E0E68AACCE9BF0017A5C428004A408FDAEB8CDAD7E9BF1AFFF77733004A4095E6EC3123DFE9BFC210530E23004A40E00E39EEB2E6E9BF98578D7A50004A4001668BA5EDE1E9BF1A147BB457004A40B7C7675C4CD7E9BFA742930E44004A40419C224B06D1E9BFC32B514050004A400642E437E7BEE9BF3CFA6E104E004A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00175490,9,168664,236,37,112,25,9,7,26,168664,6,2,3,1,4,1,1,47.457627118644105,15.677966101694901,3.8135593220339,11.0169491525424,-0.791597696,51.99556146,0106000020E61000000100000001030000000100000013000000B869BE2A1E3FE9BFBBE3CB03DAFF494032CFD0B1F93EE9BFA5EC76DBE4FF49403EE39CD4FD36E9BF50A8EC4CD3FF49403CDC94301238E9BF56F048829FFF49402F0B98E79E33E9BF913209D3A3FF4940FACC8E9D933CE9BF01205EF97DFF4940BAA622708A32E9BFE80E718068FF4940C54AF360E744E9BF59376E9D59FF4940E2C6CB8F6652E9BFA962F09B5AFF49408AACE5E1245AE9BFB90D38A248FF49400393EAE3215FE9BF7B9B657655FF4940CF68C9F75861E9BFC827935679FF4940732994E90268E9BF597262ED7FFF49406DEA72824867E9BF99C65C7BACFF4940CA9CE1DDA460E9BF19AF6B7BEDFF494039194D8AC452E9BF0D9D0D15CEFF4940D905F3B0534CE9BF0B1AE1ABCDFF49403CFFC7CF3D4BE9BF5A04F1E9DEFF4940B869BE2A1E3FE9BFBBE3CB03DAFF4940,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00175411,3,168665,175,16,119,13,10,3,3,168665,6,0,2,0,1,2,2,68.0,9.14285714285714,5.71428571428571,1.7142857142857097,-0.707951482,52.08007103,0106000020E6100000010000000103000000010000000A0000004C58F5585784E6BFDBCEC75AF3094A4060A2B96C6BA7E6BFD000666C080A4A408E94318121A1E6BF08F32EBA160A4A407A9E233970A5E6BF4BC0B796330A4A4080BAAC8D79ADE6BFD46BA0962D0A4A401D33D3967FB0E6BFE67442E9520A4A408F29B5C45A73E6BF7B4B576A770A4A40EE2D56245D4DE6BFE016E00B7F0A4A4014DCAAF76962E6BF2CA52D0A300A4A404C58F5585784E6BFDBCEC75AF3094A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00175497,7,168666,173,21,107,16,8,9,0,168666,2,2,1,1,0,1,6,61.849710982659,12.1387283236994,4.6242774566474,0.0,-0.806996327,52.01911463,0106000020E6100000010000000103000000010000000A00000031546D0BA8B2E9BF7FDFCD4A9B024A40B1B2139D61ACE9BFCF0A251885024A40A864264737B2E9BF6FC7DF8259024A40FF867EBEBCBBE9BF224732FE6C024A40EABDD870EBCBE9BF287C7D0070024A4010BE70AB2EE1E9BF339118BE54024A406FACD62CC8E8E9BF8DCEF64977024A404F41E4BDA4CAE9BF2FB7E23FA0024A40AE289983E1BCE9BF03DF13A775024A4031546D0BA8B2E9BF7FDFCD4A9B024A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00175416,7,168667,263,24,143,31,15,12,18,168667,10,1,2,2,5,0,7,54.3726235741445,9.1254752851711,5.70342205323194,6.8441064638783295,-0.714392943,52.04496888,0106000020E6100000010000000103000000010000000B000000BAD977DEE1C0E6BF8FA4D6B3F1054A4040AECC973EC0E6BFA98CD5C8DF054A4026E59A0AC1C6E6BFF97D3233D5054A4084D890ECDED8E6BF7748FA7DC3054A40EF13A50DA5CFE6BF8BB116F4C6054A40B8D1F5D6A7CEE6BF56C7459BA8054A4029E294F990E0E6BF9EBE4EDDB0054A4093FFB6D0BAECE6BFEF17DD9E73054A40ED6392B0040BE7BFF43D66EC99054A40A8F34DD308CAE6BFDAB949FAF3054A40BAD977DEE1C0E6BF8FA4D6B3F1054A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
